EventTriggerStatement	extract_event_trigger_statement
ExpectExpression	extract_expect_expression
ExpectPropertyExpression	extract_expect_property
ExpectStatementExpression	extract_expect_stmt_expression
ExplicitConversion	extract_explicit_conversion
ExpressionOrCondItem	extract_expression_or_cond_item
ExpressionOrStatement	extract_expression_or_statement
ExternFunctionDeclaration	extract_extern_function_declaration
ExternTaskDeclaration	extract_extern_task_declaration
FatalElabSystemTask	extract_fatal_elab_system_task
FinalDeferredAssertStatement	extract_final_deferred_assert_statement
FinalDeferredImmediateAssertionStatement	extract_final_deferred_assertion
FinalProceduralBlock	extract_final_procedural_block
FinalStatement	extract_final_statement
FirstMatchAssertExpression	extract_first_match_assert_expr
FollowedBySequenceExpr	extract_followed_by_sequence_expr
ForGenerate	extract_for_generate
ForLoopStatementExpression	extract_for_loop_expression
ForceStatement	extract_force_statement
ForeachConstraint	extract_foreach_constraint
ForeachConstraintExpr	extract_foreach_constraint_expr
ForeachLoopStatementExpression	extract_foreach_loop_expression
ForeverLoopStatement	extract_forever_loop_statement
ForeverLoopStatement	extract_forever_loop_statement_stmt
ForkStatement	extract_fork_statement
ForkStatementExpression	extract_fork_stmt_expression
FullSkewTimingCheck	extract_full_skew_timing_check
FunctionReturnType	extract_function_return_type
FunctionSubroutine	extract_function_subroutine
GreaterThanExpr	extract_greater_than_expr_stmt
GreaterThanOrEqualExpr	extract_greater_than_or_equal_expr_stmt
GreaterThanOrEqualExpression	extract_greater_than_or_equal_expression
HierarchicalValueExpression	extract_hierarchical_value
HoldTimingCheck	extract_hold_timing_check
IdentifierSelect	extract_identifier_select
IfConstraint	extract_if_constraint
IfElseConditionItem	extract_if_else_condition_item
IfElseConstraintExpr	extract_if_else_constraint_expr
IfElseStatementExpression	extract_if_else_stmt_expression
IfPropertyExpr	extract_if_property_expr_stmt
IfPropertyExpression	extract_if_property_expression
IfStatementExpression	extract_if_stmt_expression
ImmediateAssertStatementExpression	extract_immediate_assert_stmt_expr
ImmediateAssertionStatement	extract_immediate_assertion
ImmediateAssumeStatementExpression	extract_immediate_assume_stmt_expr
ImmediateCoverStatementExpression	extract_immediate_cover_stmt_expr
Implication	extract_implication
ImplicationConstraintExpr	extract_implication_constraint_expr
ImplicationExpression	extract_implication_expression
ImplicationSequenceExpr	extract_implication_sequence_expr
ImplicationWindow	extract_implication_window
ImplicitConversion	extract_implicit_conversion
ImplicitEventTimingControl	extract_implicit_event_timing_control
ImportExportExpr	extract_import_export_expr
ImportPackageDeclaration	extract_import_package_declaration
IncrementAssignmentExpr	extract_increment_assignment_expr
IndexedDownRangeSelection	extract_indexed_down_range_selection
IndexedUpRangeSelection	extract_indexed_up_range_selection
InequalityExpr	extract_inequality_expr
InfoElabSystemTask	extract_info_elab_system_task
InitialProceduralBlock	extract_initial_procedural_block
InitialStatement	extract_initial_statement
InsideExpr	extract_inside_expr
IntegerLiteral	extract_integer_literal
IntegerLiteralExpr	extract_integer_literal_expr
InterfaceDefinition	extract_interface_definition
InterfaceHandleExpr	extract_interface_handle_expr
InterfaceInstantiation	extract_interface_instantiation
Invalid	extract_invalid
InvalidBinsSelectExpr	extract_invalid_bins_select_expr
InvalidExpression	extract_invalid_expression
InvalidPort	extract_invalid_port
InvalidTimingControl	extract_invalid_timing_control
JoinAllStatementBlock	extract_join_all_statement_block
JoinAnyStatement	extract_join_any_statement_stmt
JoinAnyStatementBlock	extract_join_any_statement_block
JoinAnyStatementExpression	extract_join_any_expression
JoinNoneStatement	extract_join_none_statement_stmt
JoinNoneStatementBlock	extract_join_none_statement_block
JoinNoneStatementExpression	extract_join_none_expression
JoinStatement	extract_join_statement
JumpStatementExpression	extract_jump_statement_expression
LValueReference	extract_l_value_reference
LeftShiftExpr	extract_left_shift_expr
LessThanExpr	extract_less_than_expr_stmt
LessThanOrEqualExpr	extract_less_than_or_equal_expr_stmt
LessThanOrEqualExpression	extract_less_than_or_equal_expression
LetExpression	extract_let_expression
LetExpression	extract_let_expression_stmt
LetStatementExpression	extract_let_stmt_expression
LineCommentTrivia	extract_line_comment_trivia
ListStatement	extract_list_statement
LocalParameterDeclaration	extract_local_parameter_declaration
LogicalAndExpr	extract_logical_and_expr
LogicalLeftShiftExpression	extract_logical_left_shift_expression
LogicalOrExpr	extract_logical_or_expr
LogicalRightShiftExpression	extract_logical_right_shift_expression
LogicalXnorExpr	extract_logical_xnor_expr
LogicalXorExpr	extract_logical_xor_expr
LoopStatementExpression	extract_loop_statement_expression
MatchedExpr	extract_matched_expr
MatchedExpr	extract_matched_expr_stmt
MatchedMultipleSequences	extract_matched_multiple_sequences
MatchedProperty	extract_matched_property
MatchedSequence	extract_matched_sequence
MethodCallExpression	extract_method_call_expression_stmt
MinTypMaxExpr	extract_min_typ_max_expr_stmt
MinusBitSelectExpr	extract_minus_bit_select_expr
MinusRangeSelectExpr	extract_minus_range_select_expr
ModportClockingItem	extract_modport_clocking_item
ModportSimplePortDecl	extract_modport_simple_port_decl
ModportSubroutinePortDecl	extract_modport_subroutine_port_decl
ModuleDefinition	extract_module_definition
ModuloAssignmentExpression	extract_modulo_assignment_expression
ModuloExpr	extract_modulo_expr
ModuloExpression	extract_modulo_expression
MultiPattern	extract_multi_pattern
MulticastExpression	extract_multicast_expression
MultiplyExpr	extract_multiply_expr_stmt
NamedValue	extract_named_value
NegEdge	extract_neg_edge
NewCovergroupExpression	extract_new_covergroup
NewCovergroupExpression	extract_new_covergroup_expression_stmt
NoChangeTimingCheck	extract_no_change_timing_check
NoEdge	extract_no_edge
NoShowCancelledPulseStyle	extract_no_show_cancelled_pulse_style
NonBlockingAssignmentStatement	extract_non_blocking_assignment_stmt
NonBlockingAssignmentStatement	extract_nonblocking_assignment_stmt
NonNullMethodCallSequence	extract_non_null_method_call_seq
NonOverlappingFollowedBySequenceExpr	extract_non_overlapping_followed_by_seq
NotPropertyExpr	extract_not_property_expr
NullCheckExpression	extract_null_check
NullExpression	extract_null_expression
NullLiteral	extract_null_literal
NullOtherControl	extract_null_other_control
OnDetectPulseStyle	extract_on_detect_pulse_style
OnEventPulseStyle	extract_on_event_pulse_style
